,I,I6,II,II64,III,IIIM7,IV,IV6,IV7,IVM7,V,V+,V6,V7,VI,VI7,VII,VII6,VII9,VIM7,VM7,i,i42,i7,ii,ii7,iii,iv,iv64,v,vi,vi7,vii,♭II,♭III,♭IV,♭V,♭VI,♭VII,♭iii,♭vii,♭vii64,♯I,♯II,♯IV,♯V,♯VII,♯VM7,♯i,♯ii,♯iii,♯iv,♯vi,♯vi7,♯vii7,♯vii°7,♯viiø7,♯viø7,𝄪VI,𝄪iv,𝄪vii
VM7,2.229354402951527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i,0.0,0.0,0.0,0.0,0.5941076211928022,0.0,-0.6921556497291552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.492083360928713,0.0,0.2790203685958086,0.0,0.0,0.0,0.0,0.171931692134598,2.249355069658197,0.0,0.0,0.0,0.0,0.4514417348557635,0.0,1.234124389929138,0.0,0.0,0.0,-0.4099049672745814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3330643377840419,0.0,0.0,0.08439135454019882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8649433707478649,1.380317222634587,0.0,0.0
i42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.603765230516829,0.0,0.0,0.0
i7,0.0,0.0,0.0,0.0,0.0,4.522087199502561,0.0,0.0,3.541257946490835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4011917829945642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.077404705900667,0.0,0.0,0.0
ii,-2.1400934495154944,0.0,0.0,0.0,0.0,0.0,1.6865697069614949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9969393852245974,0.0,1.74640549857216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.506776596520899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.187344994873984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ii7,0.0,7.0676184711069965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iii,-2.0679310032672635,0.0,2.088791430448568,0.0,-1.6575031058169705,0.0,1.415787402082895,0.0,0.0,0.0,0.23795987786128142,0.0,2.857344441877835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7703330648882054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.463480245448151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.058015137339986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iv,-1.4781014367353447,0.0,0.0,0.0,1.2095937457247048,0.0,-1.7785726653034468,0.0,0.0,0.0,-2.350264385954745,0.0,0.0,0.0,0.6766535392340322,0.0,0.003533569237845832,0.0,0.0,0.0,0.0,0.41370140687291634,0.0,0.0,0.0,0.0,0.0,0.0,3.3601626314201245,1.6517847711311207,0.0,0.0,0.0,0.8344339871118691,1.0743846567424602,0.0,0.0,0.0,0.0,0.0,3.0034876874813925,0.7952132739585878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iv64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.458180558672896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v,0.0,0.0,0.0,0.0,0.6569675944110565,0.0,-1.206611041545725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0843121117004781,0.0,0.17003008488740354,0.0,0.0,0.0,0.0,1.1287638742713118,0.0,0.0,0.0,0.0,0.0,1.691005484284402,0.0,-0.7074473575275771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7858191231444812,0.0,0.0
vi,0.6778104689363296,0.0,0.3724635603047433,0.0,0.0,0.0,1.2936299722423823,0.0,0.0,0.0,1.4874060937306555,0.0,2.4250320837334827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9311070584212268,0.1346422638332555,0.0,0.0,-0.8874996608430162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vi7,1.6036485031871146,0.0,0.0,0.0,0.0,0.0,1.058054816586027,0.0,0.0,0.0,1.3801809719568257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vii,2.229354402951527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
♭II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6994314245984736,0.0,0.0,0.0,0.0,0.0,2.462448285118905,3.3821231149773006,0.0,1.0155293021825793,2.193319620562872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
♭III,0.0,0.0,0.0,0.0,0.0,0.0,0.6239344527174867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7295700855794129,0.0,0.0,0.0,0.0,0.0,0.8920630999485055,0.0,0.0,0.0,0.0,0.0,1.9684297796692956,0.9919851249753935,0.0,0.0,3.321726223074174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
