,from_roman,to_roman
12,i,VI
13,VI,III
14,III,VII6
15,VII6,i
16,i,VI
17,VI,III
18,III,VII6
19,VII6,i
20,i,VI
21,VI,III
22,III,VII6
23,VII6,i
24,i,VI
25,VI,III
26,III,VII6
27,VII6,i
28,i,VI
29,VI,III
30,III,VII6
31,VII6,i
32,i,VI
33,VI,III
34,III,VII6
35,VII6,i
36,i,VI
37,VI,III
38,III,VII6
39,VII6,i
40,i,VI
41,VI,III
42,III,VII6
43,VII6,i
44,i,VI
45,VI,III
46,III,VII6
47,VII6,i
48,i,VI
49,VI,III
50,III,VII6
51,VII6,i
52,i,VI
53,VI,III
54,III,VII6
55,VII6,i
56,i,VI
57,VI,III
58,III,VII6
0,V7,I
1,I,V7
2,V7,I
3,I,IV
4,IV,I
5,I,V7
6,V7,I
7,I,I7
8,I7,IV
9,IV,I7
10,I7,IV
11,IV,♭VII
12,♭VII,IV
13,IV,I7
14,I7,IV
15,IV,IV7
16,IV7,♭VII
17,♭VII,IV7
18,IV7,♭VII
19,♭VII,♭III
20,♭III,♭VII
21,♭VII,IV7
22,IV7,♭VII
23,♭VII,I7
24,I7,IV
25,IV,I7
26,I7,IV
27,IV,♭VII
28,♭VII,IV
29,IV,I7
30,I7,IV
31,IV,V7
32,V7,I
33,I,V7
34,V7,I
35,I,IV
36,IV,I
37,I,V7
38,V7,I
0,I,IV
1,IV,I
2,I,ii
3,ii,I
4,I,iii
5,iii,IV
6,IV,I
7,I,iii
8,iii,IV
9,IV,vi
10,vi,V
11,V,iii
12,iii,V
13,V,I
14,I,I
15,I,V
16,V,vi
17,vi,IV
18,IV,I
19,I,V
20,V,vi
21,vi,IV
22,IV,I
23,I,V
24,V,vi
25,vi,V
26,V,IV
27,IV,I
28,I,iii
29,iii,IV
30,IV,vi
31,vi,V
32,V,iii
33,iii,V
34,V,I
35,I,I
36,I,V
37,V,vi
38,vi,IV
39,IV,I
40,I,V
41,V,vi
42,vi,IV
43,IV,I
44,I,V
45,V,vi
46,vi,V
47,V,IV
48,IV,vi
49,vi,V
50,V,IV
51,IV,vi
52,vi,I
53,I,V
54,V,vi
55,vi,V
56,V,iii
57,iii,V
58,V,I
59,I,I
60,I,V
61,V,vi
62,vi,IV
63,IV,I
64,I,V
65,V,vi
66,vi,IV
67,IV,I
68,I,V
69,V,vi
70,vi,IV
71,IV,I
72,I,V
73,V,vi
74,vi,V
