Source,Target,sum_appearance,percent,log_ratio,probability
II,vii,23,0.0024318037640093043,1.904377840461118,0.08679245283018867
II,♯iv,15,0.0015859589765278071,2.567382803663127,0.05660377358490566
II6,I,5,0.0005286529921759357,1.553534396994455,0.625
II6,V,2,0.00021146119687037428,0.756987870261907,0.25
II6,iii,1,0.00010573059843518714,1.8485578763046038,0.125
II7,I,3,0.0003171917953055614,0.23177855701213554,0.17647058823529413
II7,II7,1,0.00010573059843518714,3.3942799743525964,0.058823529411764705
II7,IV,4,0.00042292239374074856,0.7049219062625388,0.23529411764705882
II7,V,6,0.0006343835906111228,1.0446699427136876,0.35294117647058826
II7,ii,3,0.0003171917953055614,1.7203035407809248,0.17647058823529413
II9,III,1,0.00010573059843518714,2.964423413120273,1.0
III,I,4,0.00042292239374074856,-2.8007676896645717,0.00816326530612245
III,II,1,0.00010573059843518714,-2.637695407759428,0.0020408163265306124
III,II9,1,0.00010573059843518714,2.964423413120273,0.0020408163265306124
III,III,18,0.0019031507718333686,-0.35580490600821535,0.036734693877551024
III,III7,1,0.00010573059843518714,0.47951676333227244,0.0020408163265306124
III,IV,3,0.0003171917953055614,-2.90298848531773,0.006122448979591836
III,V,4,0.00042292239374074856,-2.681023484522965,0.00816326530612245
III,VI,55,0.005815182913935293,0.3292697969854878,0.11224489795918367
III,VII,217,0.02294353986043561,1.7390228457125305,0.44285714285714284
III,VII6,7,0.00074011418904631,2.964423413120273,0.014285714285714285
III,i,58,0.006132374709240854,0.4414572015079275,0.11836734693877551
III,ii,1,0.00010573059843518714,-2.698537067015673,0.0020408163265306124
III,iv,53,0.005603721717064919,1.597177246971077,0.10816326530612246
III,iv7,1,0.00010573059843518714,1.1726639438922177,0.0020408163265306124
III,v,27,0.0028547261577500527,1.4160731926660106,0.05510204081632653
III,v7,4,0.00042292239374074856,1.3061953365167405,0.00816326530612245
III,vi°7,3,0.0003171917953055614,2.9644234131202727,0.006122448979591836
III,♯IV,1,0.00010573059843518714,-0.25445241174792793,0.0020408163265306124
III,♯V,2,0.00021146119687037428,0.29027476369374405,0.004081632653061225
III,♯V7,9,0.0009515753859166843,2.328434646400276,0.018367346938775512
III,♯i,12,0.0012687671812222456,1.479038149356151,0.024489795918367346
