Source,Target,sum_appearance,percent,log_ratio
IV,iii,4,0.001539645881447267,-0.9027526409930215
IV,vi,16,0.006158583525789068,-0.03371479396941195
IV,♭III,3,0.0011547344110854503,-0.975323333827857
IV,♭VII,2,0.0007698229407236335,-1.9231127327613828
IV6,V7,2,0.0007698229407236335,5.177409360876247
IV64,I,51,0.019630484988452657,1.0889206909288156
IV64,V,2,0.0007698229407236335,-1.6398375245843868
IV64,iii,7,0.0026943802925327174,1.5771009409435877
IV64,vi,1,0.00038491147036181676,-0.8860657222080068
IV7,I,2,0.0007698229407236335,1.284229443249581
IVM7,vi,2,0.0007698229407236335,3.2410686628370846
V,I,193,0.07428791377983064,0.45560975007676885
V,II,90,0.03464203233256351,1.3241460506550238
V,IM7,1,0.00038491147036181676,-0.28529186177907656
V,IV,51,0.019630484988452657,-0.3213968664211928
V,IV64,7,0.0026943802925327174,-0.3870745560890188
V,IVM7,2,0.0007698229407236335,1.7941496799007592
V,V,7,0.0026943802925327174,-2.3512500531216256
V,V7,6,0.0023094688221709007,0.8778589480266044
V,VI7,8,0.003079291762894534,1.3086418641190585
V,ii,30,0.011547344110854504,0.44175687045655015
V,iii,21,0.008083140877598153,0.7115377325790908
V,vi,20,0.007698229407236336,0.14549105431337786
V,♭VII,2,0.0007698229407236335,-1.9670504357928031
V,♭vi°,2,0.0007698229407236335,1.7941496799007592
V6,I,6,0.0023094688221709007,-0.25621559769756763
V6,II,2,0.0007698229407236335,0.2765889327871982
V6,IV,2,0.0007698229407236335,-0.8009699466830792
V6,V6,2,0.0007698229407236335,1.9141977221879949
V6,vi7,16,0.006158583525789068,3.8293362125765547
V7,I,10,0.003849114703618168,0.8787643351414169
V7,I7,1,0.00038491147036181676,3.0979678191964113
V7,III,1,0.00038491147036181676,3.7911149997563567
V7,V,2,0.0007698229407236335,-0.22075334064150548
VI,II,3,0.0011547344110854503,0.10223554564242045
VI,V,24,0.009237875288683603,1.060180504820559
VI,VI7,1,0.00038491147036181676,1.4084871990887746
VI,vii,22,0.008468052347959968,3.768642143904298
VI7,II,8,0.003079291762894534,2.4301384466207563
VI7,II7,2,0.0007698229407236335,4.627363023956976
VI7,V,3,0.0011547344110854503,0.3278126111073323
i,II,6,0.0023094688221709007,-0.21984795352669276
i,IV,4,0.001539645881447267,-1.7028719411051345
i,i,46,0.01770592763664357,1.8595935881531431
i,i7,2,0.0007698229407236335,2.5527407687130883
i,iv,11,0.004234026173979984,2.7911517921580864
i,♭III,36,0.013856812933025405,2.629701809849217
i,♭VI,13,0.0050038491147036184,2.958205876821253
i,♭VII,17,0.006543494996150885,1.337071924623961
i7,i,3,0.0011547344110854503,2.958205876821253
ii,I,21,0.008083140877598153,-0.4248383101333604
ii,I6,3,0.0011547344110854503,1.832586386741832
ii,IV,53,0.02040030792917629,1.0547891053779368
ii,V,26,0.010007698229407237,0.2986560268158769
ii,iv,2,0.0007698229407236335,1.2600671939705015
ii,♭VII,11,0.004234026173979984,1.0754173474169555
iii,I,3,0.0011547344110854503,-1.7442926531274006
iii,II,20,0.007698229407236336,1.7842441509113565
iii,IV,23,0.008852963818321785,0.8464472138162377
iii,V,7,0.0026943802925327174,-0.3870745560890188
iii,ii,4,0.001539645881447267,0.391029346946892
iii,iii,3,0.0011547344110854503,0.7298030805563842
iii,vi,2,0.0007698229407236335,-0.19291854164806152
iv,V,2,0.0007698229407236335,-0.07765249700083209
iv,i,4,0.001539645881447267,1.7795508804796067
iv,♭III,7,0.0026943802925327174,3.354397348144088
v,i,9,0.003464203233256351,2.958205876821253
vi,I,3,0.0011547344110854503,-2.2615491672236816
vi,II,3,0.0011547344110854503,-0.6301323480708061
vi,II7,1,0.00038491147036181676,1.8547743017171943
vi,III,2,0.0007698229407236335,2.5479214822771397
vi,IV,51,0.019630484988452657,1.1255221165151326
vi,V,29,0.011162432640492687,0.5170546107458608
vi,V6,5,0.001924557351809084,1.5183020650959813
vi,ii,8,0.003079291762894534,0.5669200134105561
vi,vi,2,0.0007698229407236335,-0.7101750557443426
vi7,I,16,0.006158583525789068,0.5603106040228824
vi7,V,15,0.005773672055427252,1.005692319536489
vi7,V6,2,0.0007698229407236335,1.7498946708967185
vii,I,1,0.00038491147036181676,-2.011607422754748
vii,V,21,0.008083140877598153,1.5428352516198534
vii,VI,5,0.001924557351809084,2.287037602980083
♭II,i,6,0.0023094688221709007,2.958205876821253
♭III,IV,20,0.007698229407236336,0.9217966510580243
♭III,V,3,0.0011547344110854503,-1.019261036859277
♭III,i,11,0.004234026173979984,1.4440781441914774
♭III,♭VII,16,0.006158583525789068,2.291677982536585
♭VI,i,1,0.00038491147036181676,0.3932565193597161
♭VI,♭III,4,0.001539645881447267,2.794781560208665
♭VI,♭VII,8,0.003079291762894534,2.945604449943249
♭VII,I,8,0.003079291762894534,-1.0906763113240907
♭VII,IV,31,0.01193225558121632,0.817727291163818
♭VII,i,29,0.011162432640492687,1.871154410554219
♭VII,v,9,0.003464203233256351,3.4311122657249498
♭VII,vi,2,0.0007698229407236335,-0.5201314528564775
♭VII,♭VII,6,0.0023094688221709007,0.7685244386994972
♭vi°,vi,2,0.0007698229407236335,3.2410686628370846
♯iv,V,6,0.0023094688221709007,1.7941496799007592
♯i°7,ii,5,0.001924557351809084,3.131869370872093
