Source,Target,sum_appearance,percent,log_ratio,probability
I6,ii7,2,9.356287425149701e-05,1.3362908814319094,0.03333333333333333
I6,vi,8,0.00037425149700598805,0.7559489629793699,0.13333333333333333
I6,♯ii°,1,4.6781437125748506e-05,5.895417128918594,0.016666666666666666
I64,I,16,0.0007485029940119761,1.0210948704087375,0.45714285714285713
I64,II6,1,4.6781437125748506e-05,3.9495069798632807,0.02857142857142857
I64,II64,2,9.356287425149701e-05,6.028948521543117,0.05714285714285714
I64,IV,5,0.00023390718562874252,0.04921923065355532,0.14285714285714285
I64,V7,3,0.0001403443113772455,2.171733752609965,0.08571428571428572
I64,♭VII64,6,0.000280688622754491,5.661223741417799,0.17142857142857143
I64,♭vi°,1,4.6781437125748506e-05,5.04811926853139,0.02857142857142857
I64,♯ivø7,1,4.6781437125748506e-05,5.741266449091335,0.02857142857142857
I7,I7,5,0.00023390718562874252,2.860303898640752,0.06493506493506493
I7,IV,63,0.0029472305389221555,1.7688162536333798,0.8181818181818182
I7,IV64,1,4.6781437125748506e-05,2.324476972669344,0.012987012987012988
I7,VI,6,0.000280688622754491,0.2229055694814055,0.07792207792207792
I7,♭III,1,4.6781437125748506e-05,0.24503543098950822,0.012987012987012988
I7,♭VI7,1,4.6781437125748506e-05,4.234019477553782,0.012987012987012988
I9,IV,3,0.0001403443113772455,1.7074473072570877,1.0
II,I,84,0.003929640718562874,0.20880503467636918,0.2048780487804878
II,II,37,0.0017309131736526946,1.54894765613429,0.09024390243902439
II,II7,4,0.00018712574850299402,0.7057991792938981,0.00975609756097561
II,III,26,0.0012163173652694611,0.033579518839908847,0.06341463414634146
II,IV,22,0.0010291916167664672,-0.9396941407581298,0.05365853658536585
II,V,68,0.003181137724550898,0.32863423899235406,0.16585365853658537
II,V64,3,0.0001403443113772455,2.172136248087325,0.007317073170731708
II,VI,71,0.003321482035928144,1.037407855936373,0.17317073170731706
II,VI6,1,4.6781437125748506e-05,1.191306995075599,0.0024390243902439024
II,VII7,1,4.6781437125748506e-05,1.3248383877001215,0.0024390243902439024
II,i,3,0.0001403443113772455,-2.2325484104791404,0.007317073170731708
II,ii,14,0.000654940119760479,0.07353420866841341,0.03414634146341464
II,iii,12,0.000561377245508982,0.7252172651509995,0.02926829268292683
II,iii7,12,0.000561377245508982,3.5584306092072158,0.02926829268292683
II,iv,3,0.0001403443113772455,-0.7058129898102824,0.007317073170731708
II,vi,8,0.00037425149700598805,-1.1755724486238441,0.01951219512195122
II,vii,15,0.0007017215568862275,2.4672532990266243,0.036585365853658534
II,♭II,3,0.0001403443113772455,1.170687707872863,0.007317073170731708
II,♯VI,1,4.6781437125748506e-05,0.7057991792938981,0.0024390243902439024
II,♯iv,22,0.0010291916167664672,2.1132957480643917,0.05365853658536585
