Source,Target,sum_appearance,percent,log_ratio
v,♭VI,28,0.006077707835901888,0.9004389642151045
v,♭VII,13,0.002821792923811591,0.17003008488740354
v,♯VI,2,0.0004341219882787063,0.7858191231444812
vi,I,32,0.006945951812459301,0.6778104689363296
vi,II,12,0.002604731929672238,0.3724635603047433
vi,IV,40,0.008682439765574127,1.2936299722423823
vi,V,43,0.009333622747992185,1.4874060937306555
vi,V6,4,0.0008682439765574126,2.4250320837334827
vi,iii,12,0.002604731929672238,0.9311070584212268
vi,iv,6,0.001302365964836119,0.1346422638332555
vi,vi,2,0.0004341219882787063,-0.8874996608430162
vi7,I,23,0.004992402865205123,1.5806589849624157
vi7,IV,9,0.0019535489472541786,1.0350652983613284
vi7,V,11,0.002387670935532885,1.3571914537321268
vi7,♯VM7,1,0.00021706099413935315,1.114375136819212
vii,I,4,0.0008682439765574126,2.229354402951527
vii7,♯VM7,1,0.00021706099413935315,4.898564770737473
vii°7,i7,20,0.004341219882787063,4.927552307610726
viiø7,i7,3,0.0006511829824180595,4.639870235158945
viiø7,♯VM7,1,0.00021706099413935315,3.5122704096175825
viø7,i,1,0.00021706099413935315,-1.6007925320518617
viø7,vi7,1,0.00021706099413935315,0.8195755965985673
viø7,♭VIM7,32,0.006945951812459301,4.603765230516829
viø7,♯V,1,0.00021706099413935315,0.49289136634351716
viø7,♯VM7,12,0.002604731929672238,3.533323818815415
♭II,iv,19,0.00412415888864771,1.6994314245984736
♭II,♭II,25,0.005426524853483829,2.462448285118905
♭II,♭III,37,0.008031256783156067,1.6017274043995606
♭II,♭V,1,0.00021706099413935315,1.0155293021825793
♭II,♭VI,17,0.0036900369003690036,0.7235312972652298
♭III,IV,8,0.0017364879531148252,-1.1564612578602533
♭III,IV6,13,0.002821792923811591,1.726941830719818
♭III,V,8,0.0017364879531148252,-1.0350057979516059
♭III,i,28,0.006077707835901888,-0.27637357465005874
♭III,ii,1,0.00021706099413935315,-1.7734681747235939
♭III,iv,18,0.003907097894508357,0.3926012348328301
